doc_template_code,biz_category,biz_system,sales_type,biz_process,biz_event,account_event_category,account_event,text_kor,text_eng,is_active,biz_event_order,document_type,processing_type,order_item_status,charge_status,contract_status,service_flow_status,logistics_status
ONETIME_AS_REPAIR,CUSTOMER,ONETIME,ONETIME,AFTER_SERVICE,AS_REPAIR,,,[일시불:AS] 수리-단순방문,,N,1,ACCOUNTING_DOCUMENT,RULE,,,,,
ONETIME_AS_REPAIR_REPLACEMENT_PART,CUSTOMER,ONETIME,ONETIME,AFTER_SERVICE,AS_REPAIR,,,[일시불:AS] 수리-부품교체,,N,2,ACCOUNTING_DOCUMENT,RULE,,,,,
ONETIME_AS_RELOCATION,CUSTOMER,ONETIME,ONETIME,AFTER_SERVICE,AS_RELOCATION,,,[일시불:AS] 이사,,N,3,ACCOUNTING_DOCUMENT,RULE,,,,,
ONETIME_AS_REINSTALL,CUSTOMER,ONETIME,ONETIME,AFTER_SERVICE,AS_REINSTALL,,,[일시불:AS] 이전설치,,N,4,ACCOUNTING_DOCUMENT,RULE,,,,,
ONETIME_AS_DISMANTLING,CUSTOMER,ONETIME,ONETIME,AFTER_SERVICE,AS_DISMANTLING,,,[일시불:AS] 해체,,N,5,ACCOUNTING_DOCUMENT,RULE,,,,,
OLEASE_ORDER_RECEIVED,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,ORDER,ORDER_RECEIVED,,,[운용리스] 주문접수,,Y,1,ACCOUNTING_DOCUMENT,AUTO,,,,,
OLEASE_PRODUCT_SHIPPED,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,ORDER,PRODUCT_SHIPPED,LOGISTICS,GOODS_ISSUE,[운용리스] 제품출고,,Y,2,GOODS_ISSUE,AUTO,,,,,
OLEASE_RENTAL_ASSET_ACQUISITION,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,ORDER,INSTALLATION_COMPLETED,RENTAL_ASSET,RENTAL_ASSET_ACQUISITION,[운용리스] 설치완료-렌탈자산 인식,,Y,3,ASSET_POSTING,AUTO,,,,,
OLEASE_INVENTORY_PRICE_DIFFERENCE,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,ORDER,INSTALLATION_COMPLETED,INVENTORY_VALUATION,PRICE_DIFFERENCE,[운용리스] 설치완료-재고가액 확정,,Y,4,INVENTORY_DOCUMENT,AUTO,,,,,
OLEASE_CUSTOMER_BILLING,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,CUSTOMER_PAYMENT,CUSTOMER_BILLING,ACCOUNT_RECEIVABLE,CUSTOMER_BILLING,[운용리스] 청구,,Y,1,CUSTOMER_INVOICE,AUTO,,,,,
OLEASE_PAYMENT_RECEIVED,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,CUSTOMER_PAYMENT,PAYMENT_RECEIVED,ACCOUNT_RECEIVABLE,PAYMENT_RECEIVED,[운용리스] 수납,,Y,2,CUSTOMER_PAYMENT,AUTO,,,,,
OLEASE_DEPOSIT_RECEIVED,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,CUSTOMER_PAYMENT,DEPOSIT_RECEIVED,ACCOUNT_RECEIVABLE,DEPOSIT_RECEIVED,[운용리스] 입금,,Y,3,CUSTOMER_PAYMENT,AUTO,,,,,
OLEASE_RENTAL_ASSET_DEPRECIATION,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,DEPRECIATION,DEPRECIATION_PROCESSED,RENTAL_ASSET,RENTAL_ASSET_DEPRECIATION,[운용리스:상각] 렌탈자산 감가상각,,Y,1,DEPRECIATION_POSTING,AUTO,,,,,
OLEASE_FILTER_SHIPPED,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,SERVICE_SALES,FILTER_SHIPPED,REVENUE,SERVICE_RECOGNITION_RECEIVED,[운용리스:서비스매출] 필터배송,,Y,1,ACCOUNTING_DOCUMENT,AUTO,,,,,
OLEASE_REPLACEMENT_RECEIVED,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,REPLACEMENT,REPLACEMENT_RECEIVED,,,[운용리스:교환] 교환접수,,N,1,ACCOUNTING_DOCUMENT,AUTO,,,,,
OLEASE_REPLACEMENT_PRODUCT_SHIPPED,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,REPLACEMENT,PRODUCT_SHIPPED,LOGISTICS,GOODS_ISSUE,[운용리스:교환] 교환출고,,Y,2,GOODS_ISSUE,AUTO,,,,,
OLEASE_REPLACEMENT_INSTALLATION_COMPLETED,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,REPLACEMENT,INSTALLATION_COMPLETED,RENTAL_ASSET,RENTAL_ASSET_ACQUISITION,[운용리스:교환] 설치완료,,Y,3,ACCOUNTING_DOCUMENT,AUTO,,,,,
